"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC9","ORF10_HHV8P ","Q9Y3E2","BOLA1_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC8","ORF11_HHV8P ","Q9UQ13","SHOC2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","P0C0L4","CO4A_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P51608","MECP2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC9","ORF10_HHV8P ","P37198","NUP62_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR75","ICP27_HHV8P ","Q9C0C9","UBE2O_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HFD2","ORF24_HHV8P ","Q9UHW5","GPN3_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","Q96G23","CERS2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P54198","HIRA_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC6","DYR_HHV8P ","P63151","2ABA_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","Q8TCG1","CIP2A_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","Q9UI26","IPO11_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q98146","VGPCR_HHV8P ","Q10471","GALT2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HFD2","ORF24_HHV8P ","Q9H6T3","RPAP3_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC9","ORF10_HHV8P ","Q9UPU5","UBP24_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q6ZU65","UBN2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","Q15386","UBE3C_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q9NPG3","UBN1_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90463","TYSY_HHV8P ","Q4G0N4","NAKD2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P0C788","OX2V_HHV8P ","Q9GZT4","SRR_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","O14920","IKKB_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC9","ORF10_HHV8P ","P78332","RBM6_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRB6","SCAF_HHV8P ","Q13438","OS9_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC9","ORF10_HHV8P ","Q99567","NUP88_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HFD2","ORF24_HHV8P ","P53803","RPAB4_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q77Q36","VCYCL_HHV8P ","Q99536","VAT1_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRB6","SCAF_HHV8P ","Q9NZC7","WWOX_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR75","ICP27_HHV8P ","P25440","BRD2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRB6","SCAF_HHV8P ","O60547","GMDS_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90463","TYSY_HHV8P ","P82909","RT36_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC9","ORF10_HHV8P ","Q96EE3","SEH1_HUMAN ","affinity chromatography technology","25544563"
