"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","P11940","PABP1_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","P60709","ACTB_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","P35658","NU214_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","Q04637","IF4G1_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","O75369","FLNB_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","P21333","FLNA_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","P55884","EIF3B_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","O43390","HNRPR_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","Q92841","DDX17_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","Q13310","PABP4_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","P08107","HS71B_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1 STRAIN 17","10299","P36313","ICP34_HHV11 ","P62136","PP1A_HUMAN ","anti bait coimmunoprecipitation","18068675"
"Human herpesvirus 1 STRAIN 17","10299","P10221","UL37_HHV11 ","Q9NYJ8","TAB2_HUMAN ","anti bait coimmunoprecipitation","18682563"
"Human herpesvirus 1 STRAIN 17","10299","P10221","UL37_HHV11 ","Q15750","TAB1_HUMAN ","anti bait coimmunoprecipitation","18682563"
"Human herpesvirus 1 STRAIN 17","10299","P10221","UL37_HHV11 ","Q9Y4K3","TRAF6_HUMAN ","anti bait coimmunoprecipitation","18682563"
"Human herpesvirus 1 STRAIN 17","10299","P10221","UL37_HHV11 ","P51617","IRAK1_HUMAN ","anti bait coimmunoprecipitation","18682563"
